ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
164, 183.365,130.773,77.9322,-1.52534,4.25538,6.01471,14.0608,91.6762,56.8436,30.7046,57.398,39.5673,,
165, 183.365,130.773,77.9331,-1.52339,4.25747,6.01678,14.0628,91.677,56.8448,30.706,57.3993,39.5687,,
166, 183.365,130.773,77.9339,-1.52152,4.25948,6.01877,14.0647,91.6779,56.846,30.7073,57.4006,39.5699,,
167, 183.366,130.774,77.9346,-1.51973,4.26141,6.02069,14.0665,91.6787,56.8471,30.7086,57.4019,39.5712,,
168, 183.366,130.774,77.9353,-1.518,4.26326,6.02253,14.0683,91.6795,56.8482,30.7099,57.4031,39.5723,,
169, 183.366,130.774,77.936,-1.51633,4.26504,6.0243,14.0699,91.6802,56.8492,30.7111,57.4043,39.5735,,
170, 183.366,130.775,77.9367,-1.51474,4.26676,6.026,14.0715,91.6809,56.8502,30.7122,57.4054,39.5746,,
171, 183.366,130.775,77.9373,-1.5132,4.2684,6.02764,14.0731,91.6816,56.8512,30.7133,57.4065,39.5756,,
172, 183.366,130.775,77.938,-1.51172,4.26999,6.02921,14.0746,91.6823,56.8521,30.7144,57.4075,39.5766,,
173, 183.366,130.776,77.9386,-1.5103,4.27151,6.03073,14.076,91.6829,56.853,30.7154,57.4085,39.5776,,
174, 183.366,130.776,77.9391,-1.50894,4.27297,6.03218,14.0774,91.6835,56.8538,30.7164,57.4094,39.5785,,
175, 183.366,130.776,77.9397,-1.50762,4.27438,6.03358,14.0787,91.6841,56.8546,30.7173,57.4104,39.5794,,
176, 183.366,130.776,77.9402,-1.50636,4.27573,6.03492,14.08,91.6846,56.8554,30.7182,57.4113,39.5803,,
177, 183.366,130.777,77.9407,-1.50515,4.27703,6.03622,14.0812,91.6852,56.8562,30.7191,57.4121,39.5811,,
178, 183.366,130.777,77.9412,-1.50398,4.27828,6.03746,14.0824,91.6857,56.8569,30.7199,57.4129,39.5819,,
179, 183.366,130.777,77.9417,-1.50286,4.27948,6.03865,14.0835,91.6862,56.8576,30.7207,57.4137,39.5826,,
180, 183.366,130.777,77.9421,-1.50178,4.28064,6.0398,14.0846,91.6867,56.8583,30.7215,57.4145,39.5834,,
181, 183.366,130.777,77.9425,-1.50074,4.28175,6.04091,14.0857,91.6871,56.8589,30.7222,57.4152,39.5841,,
182, 183.366,130.778,77.943,-1.49975,4.28281,6.04197,14.0867,91.6876,56.8595,30.7229,57.4159,39.5848,,
183, 183.366,130.778,77.9434,-1.49879,4.28384,6.04299,14.0877,91.688,56.8601,30.7236,57.4166,39.5854,,
184, 183.366,130.778,77.9437,-1.49787,4.28482,6.04397,14.0886,91.6884,56.8607,30.7243,57.4172,39.586,,
185, 183.366,130.778,77.9441,-1.49698,4.28577,6.04491,14.0895,91.6888,56.8612,30.7249,57.4178,39.5866,,
186, 183.366,130.778,77.9445,-1.49613,4.28668,6.04582,14.0903,91.6892,56.8618,30.7255,57.4184,39.5872,,
187, 183.366,130.778,77.9448,-1.49531,4.28756,6.04669,14.0912,91.6895,56.8623,30.7261,57.419,39.5878,,
188, 183.366,130.779,77.9451,-1.49452,4.2884,6.04753,14.092,91.6899,56.8628,30.7266,57.4195,39.5883,,
189, 183.366,130.779,77.9454,-1.49377,4.28921,6.04834,14.0927,91.6902,56.8632,30.7272,57.4201,39.5888,,
190, 183.366,130.779,77.9457,-1.49304,4.28999,6.04911,14.0935,91.6905,56.8637,30.7277,57.4206,39.5893,,
191, 183.366,130.779,77.946,-1.49234,4.29073,6.04986,14.0942,91.6908,56.8641,30.7282,57.4211,39.5898,,
192, 183.366,130.779,77.9463,-1.49167,4.29145,6.05057,14.0948,91.6911,56.8645,30.7287,57.4215,39.5902,,
193, 183.366,130.779,77.9466,-1.49102,4.29214,6.05126,14.0955,91.6914,56.8649,30.7291,57.422,39.5907,,
194, 183.366,130.779,77.9468,-1.4904,4.29281,6.05192,14.0961,91.6917,56.8653,30.7296,57.4224,39.5911,,
195, 183.366,130.779,77.9471,-1.4898,4.29344,6.05256,14.0967,91.692,56.8657,30.73,57.4228,39.5915,,
196, 183.366,130.78,77.9473,-1.48923,4.29406,6.05317,14.0973,91.6922,56.866,30.7304,57.4232,39.5919,,
197, 183.366,130.78,77.9475,-1.48868,4.29465,6.05376,14.0979,91.6925,56.8664,30.7308,57.4236,39.5923,,
198, 183.366,130.78,77.9478,-1.48815,4.29521,6.05433,14.0984,91.6927,56.8667,30.7312,57.424,39.5926,,
199, 183.366,130.78,77.948,-1.48764,4.29576,6.05487,14.0989,91.6929,56.867,30.7316,57.4244,39.593,,
200, 183.366,130.78,77.9482,-1.48715,4.29628,6.05539,14.0994,91.6931,56.8673,30.7319,57.4247,39.5933,,
201, 183.366,130.78,77.9484,-1.48668,4.29679,6.05589,14.0999,91.6933,56.8676,30.7322,57.425,39.5936,,
202, 183.366,130.78,77.9485,-1.48622,4.29727,6.05638,14.1003,91.6935,56.8679,30.7326,57.4253,39.5939,,
203, 183.366,130.78,77.9487,-1.48579,4.29774,6.05684,14.1008,91.6937,56.8682,30.7329,57.4256,39.5942,,
204, 183.366,130.78,77.9489,-1.48537,4.29818,6.05729,14.1012,91.6939,56.8684,30.7332,57.4259,39.5945,,
205, 183.366,130.78,77.9491,-1.48496,4.29861,6.05772,14.1016,91.6941,56.8687,30.7334,57.4262,39.5948,,
206, 183.366,130.78,77.9492,-1.48458,4.29903,6.05813,14.102,91.6943,56.8689,30.7337,57.4265,39.595,,
207, 183.366,130.781,77.9494,-1.48421,4.29942,6.05852,14.1024,91.6944,56.8692,30.734,57.4268,39.5953,,
208, 183.366,130.781,77.9495,-1.48385,4.29981,6.05891,14.1027,91.6946,56.8694,30.7342,57.427,39.5955,,
209, 183.366,130.781,77.9497,-1.4835,4.30017,6.05927,14.1031,91.6947,56.8696,30.7345,57.4272,39.5958,,
210, 183.366,130.781,77.9498,-1.48317,4.30053,6.05962,14.1034,91.6949,56.8698,30.7347,57.4275,39.596,,
211, 183.367,130.781,77.9499,-1.48286,4.30087,6.05996,14.1037,91.695,56.87,30.7349,57.4277,39.5962,,
